,Infected,score,infected_scaled,score_scaled
2020-11-17,1685.0,0.0,0.05728882302472506,0.005
2020-11-17,1685.0,-2.0,0.05728882302472506,0.0025
2020-11-18,2173.0,-4.0,0.07632009983620622,0.0
2020-11-18,2173.0,-2.0,0.07632009983620622,0.0025
2020-11-19,2382.0,-2.0,0.08447079010997582,0.0025
2020-11-19,2382.0,-4.0,0.08447079010997582,0.0
2020-11-19,2382.0,-2.0,0.08447079010997582,0.0025
2020-11-19,2382.0,0.0,0.08447079010997582,0.005
2020-11-20,2425.0,-1.0,0.08614772638639731,0.00375
2020-11-20,2425.0,-1.0,0.08614772638639731,0.00375
2020-11-21,2570.0,-3.0,0.09180251150456283,0.00125
2020-11-21,2570.0,-2.0,0.09180251150456283,0.0025
2020-11-21,2570.0,-1.0,0.09180251150456283,0.00375
2020-11-21,2570.0,-2.0,0.09180251150456283,0.0025
2020-11-22,2146.0,-3.0,0.07526713984868574,0.00125
2020-11-22,2146.0,-1.0,0.07526713984868574,0.00375
2020-11-22,2146.0,0.0,0.07526713984868574,0.005
2020-11-23,1513.0,-2.0,0.050581077919039076,0.0025
2020-11-23,1513.0,-1.0,0.050581077919039076,0.00375
2020-11-23,1513.0,-4.0,0.050581077919039076,0.0
2020-11-23,1513.0,-1.0,0.050581077919039076,0.00375
2020-11-24,1219.0,-4.0,0.0391155136104828,0.0
2020-11-24,1219.0,-2.0,0.0391155136104828,0.0025
2020-11-24,1219.0,-4.0,0.0391155136104828,0.0
2020-11-24,1219.0,0.0,0.0391155136104828,0.005
2020-11-25,1925.0,-1.0,0.06664846735824038,0.00375
2020-11-25,1925.0,-3.0,0.06664846735824038,0.00125
2020-11-26,2494.0,-3.0,0.08883862413228297,0.00125
2020-11-26,2494.0,0.0,0.08883862413228297,0.005
2020-11-26,2494.0,-1.0,0.08883862413228297,0.00375
2020-11-26,2494.0,0.0,0.08883862413228297,0.005
2020-11-27,2510.0,4.0,0.089462600421184,0.01
2020-11-27,2510.0,-4.0,0.089462600421184,0.0
2020-11-27,2510.0,0.0,0.089462600421184,0.005
2020-11-27,2510.0,1.0,0.089462600421184,0.00625
2020-11-27,2510.0,-2.0,0.089462600421184,0.0025
2020-11-27,2510.0,-3.0,0.089462600421184,0.00125
2020-11-28,2667.0,-3.0,0.09558536775602527,0.00125
2020-11-28,2667.0,0.0,0.09558536775602527,0.005
2020-11-29,2046.0,-4.0,0.07136728804305437,0.0
2020-11-29,2046.0,0.0,0.07136728804305437,0.005
2020-11-29,2046.0,-1.0,0.07136728804305437,0.00375
2020-11-30,1425.0,-4.0,0.04714920833008346,0.0
2020-11-30,1425.0,-4.0,0.04714920833008346,0.0
2020-11-30,1425.0,-2.0,0.04714920833008346,0.0025
